"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Webb, Logan","657277","2024","841","617",0.258,0.27,-0.01200000000000001,0.355,0.421,-0.066,0.288,0.326,-0.038000000000000034,"3.47","4.37","-0.896"
"Lugo, Seth","607625","2024","836","598",0.229,0.24,-0.010999999999999982,0.353,0.4,-0.04700000000000004,0.278,0.304,-0.025999999999999968,"3.00","3.75","-0.745"
"Nola, Aaron","605400","2024","820","570",0.247,0.242,0.0050000000000000044,0.421,0.398,0.022999999999999965,0.31,0.304,0.006000000000000005,"3.57","3.75","-0.183"
"Gilbert, Logan","669302","2024","803","542",0.196,0.22,-0.023999999999999994,0.353,0.373,-0.020000000000000018,0.255,0.276,-0.02100000000000002,"3.23","3.06","0.175"
"Wheeler, Zack","554430","2024","787","503",0.192,0.194,-0.0020000000000000018,0.328,0.333,-0.0050000000000000044,0.256,0.262,-0.006000000000000005,"2.56","2.75","-0.185"
"Berríos, José","621244","2024","786","565",0.235,0.262,-0.027000000000000024,0.406,0.447,-0.04099999999999998,0.308,0.336,-0.028000000000000025,"3.60","4.68","-1.077"
"Burnes, Corbin","669203","2024","784","553",0.226,0.229,-0.0030000000000000027,0.347,0.371,-0.02400000000000002,0.273,0.286,-0.012999999999999956,"2.92","3.29","-0.372"
"Kirby, George","669923","2024","778","568",0.245,0.232,0.012999999999999984,0.393,0.403,-0.010000000000000009,0.287,0.29,-0.0030000000000000027,"3.53","3.39","0.144"
"Keller, Mitch","656605","2024","773","540",0.261,0.246,0.015000000000000013,0.446,0.415,0.031000000000000028,0.331,0.322,0.009000000000000008,"4.25","4.25","-0.003"
"López, Pablo","641154","2024","772","523",0.252,0.237,0.015000000000000013,0.407,0.402,0.004999999999999949,0.306,0.302,0.0040000000000000036,"4.08","3.70","0.379"
"Irvin, Jake","663623","2024","769","557",0.244,0.249,-0.0050000000000000044,0.428,0.44,-0.01200000000000001,0.314,0.323,-0.009000000000000008,"4.41","4.28","0.132"
"Anderson, Tyler","542881","2024","765","543",0.232,0.244,-0.011999999999999983,0.394,0.423,-0.02899999999999997,0.308,0.326,-0.018000000000000016,"3.81","4.37","-0.556"
"Corbin, Patrick","571578","2024","764","568",0.298,0.291,0.007000000000000006,0.486,0.481,0.0050000000000000044,0.357,0.359,-0.0020000000000000018,"5.62","5.44","0.176"
"Singer, Brady","663903","2024","762","528",0.253,0.265,-0.01200000000000001,0.405,0.437,-0.03199999999999997,0.316,0.336,-0.020000000000000018,"3.71","4.68","-0.973"
"Ragans, Cole","666142","2024","762","466",0.213,0.213,0,0.334,0.344,-0.009999999999999953,0.277,0.284,-0.006999999999999951,"3.14","3.25","-0.11"
