"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0,1,"1650",53.8,"405","0.239","0.424","0.338",25.2,26.9,19.1,"0.23","0.433","0.335",44.1
"Burnes, Corbin",669203,"BAL","FC","Cutter",1.3,17,"1348",45,"400","0.251","0.362","0.306",19,16,19.4,"0.257","0.393","0.311",31.9
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",-0.2,-3,"1658",55.4,"392","0.281","0.418","0.369",22.6,19.9,17.3,"0.271","0.431","0.35",40.6
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",0.2,3,"1488",51.9,"391","0.281","0.475","0.359",17.4,16.6,16.8,"0.282","0.552","0.385",51.4
"Cease, Dylan",656302,"SD","SL","Slider",1.8,25,"1371",43,"361","0.159","0.257","0.208",44.7,39.1,25.4,"0.167","0.271","0.213",34.5
"Greene, Hunter",668881,"CIN","FF","4-Seam Fastball",1.4,19,"1415",55.2,"358","0.184","0.273","0.266",24.9,28.5,20.6,"0.197","0.336","0.29",39.4
"Rodón, Carlos",607074,"NYY","FF","4-Seam Fastball",0,1,"1531",49.4,"355","0.262","0.514","0.37",21.4,17.2,15,"0.27","0.568","0.389",50.6
"Imanaga, Shota",684007,"CHC","FF","4-Seam Fastball",0.3,4,"1343",51.9,"353","0.23","0.471","0.325",17.7,18.7,17.9,"0.235","0.459","0.319",45.3
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",-0.4,-5,"1324",47.3,"344","0.345","0.481","0.406",13.1,9.3,12.3,"0.337","0.503","0.394",44.1
"Ragans, Cole",666142,"KC","FF","4-Seam Fastball",0.8,11,"1299",41.7,"342","0.21","0.349","0.3",23.2,26.3,22.3,"0.216","0.366","0.309",40.7
"Valdez, Framber",664285,"HOU","SI","Sinker",0.8,10,"1201",46.2,"340","0.28","0.411","0.344",11.6,10.3,21.7,"0.297","0.465","0.364",51.8
"Corbin, Patrick",571578,"WSH","SI","Sinker",-1.9,-20,"1030",35.7,"336","0.334","0.567","0.414",9.7,13.1,16.9,"0.332","0.563","0.41",55.3
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",0.1,1,"1168",48.6,"333","0.276","0.425","0.338",12,14.7,15.7,"0.279","0.494","0.36",41.4
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",0.4,6,"1341",55.7,"328","0.249","0.418","0.32",19.5,28,19.8,"0.244","0.392","0.307",51.9
"Bassitt, Chris",605135,"TOR","SI","Sinker",-0.3,-4,"1207",40.8,"326","0.326","0.422","0.382",12.8,17.5,18,"0.299","0.425","0.363",41.2
"Singer, Brady",663903,"KC","SL","Slider",0.7,8,"1194",40.3,"325","0.207","0.361","0.286",35.4,26.5,21.2,"0.246","0.405","0.318",36.2
"Steele, Justin",657006,"CHC","FF","4-Seam Fastball",0.6,8,"1221",59.7,"324","0.253","0.394","0.334",22.3,21.9,24.3,"0.23","0.347","0.294",38
"Cease, Dylan",656302,"SD","FF","4-Seam Fastball",0.2,3,"1386",43.5,"324","0.232","0.387","0.342",20.3,19.8,17.2,"0.241","0.445","0.358",44
"Harrison, Kyle",690986,"SF","FF","4-Seam Fastball",-0.2,-3,"1196",57.6,"321","0.249","0.425","0.332",23,24.6,20.4,"0.237","0.432","0.328",49.5
"Singer, Brady",663903,"KC","SI","Sinker",0.8,10,"1238",41.7,"320","0.269","0.39","0.33",12.7,20,24,"0.277","0.437","0.344",46.1
"Webb, Logan",657277,"SF","CH","Changeup",0.1,1,"990",30.9,"319","0.275","0.411","0.322",21.6,17.9,16.4,"0.305","0.513","0.372",51.6
"Heaney, Andrew",571760,"TEX","FF","4-Seam Fastball",-0.1,-1,"1393",51,"319","0.238","0.415","0.339",21.3,24.8,17.4,"0.235","0.437","0.332",44.7
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",-0.7,-8,"1249",53.5,"317","0.254","0.451","0.36",19.4,18.3,16.1,"0.263","0.479","0.371",43.2
"Morton, Charlie",450203,"ATL","CU","Curveball",0.2,2,"1183",42.4,"316","0.2","0.309","0.279",34.2,32.3,22.1,"0.183","0.273","0.262",31.3
"Webb, Logan",657277,"SF","SI","Sinker",1.4,17,"1270",39.7,"315","0.268","0.338","0.306",14.1,16.5,20.5,"0.259","0.376","0.317",44.7
